,Date,Offline_Spend,Online_Spend,Month,total_spend
0,2019-01-01,4500,2424.5,Jan,6924.5
1,2019-01-02,4500,3480.36,Jan,7980.360000000001
2,2019-01-03,4500,1576.38,Jan,6076.38
3,2019-01-04,4500,2928.55,Jan,7428.55
4,2019-01-05,4500,4055.3,Jan,8555.3
5,2019-01-06,4500,3796.85,Jan,8296.85
6,2019-01-07,4500,2579.52,Jan,7079.52
7,2019-01-08,5000,2551.38,Jan,7551.38
8,2019-01-09,5000,3287.83,Jan,8287.83
9,2019-01-10,5000,515.44,Jan,5515.4400000000005
10,2019-01-11,5000,1757.58,Jan,6757.58
11,2019-01-12,5000,2435.97,Jan,7435.969999999999
12,2019-01-13,5000,2449.65,Jan,7449.65
13,2019-01-14,5000,1920.57,Jan,6920.57
14,2019-01-15,3000,1734.68,Jan,4734.68
15,2019-01-16,3000,3727.61,Jan,6727.610000000001
16,2019-01-17,3000,417.73,Jan,3417.73
17,2019-01-18,3000,1312.5,Jan,4312.5
18,2019-01-19,3000,2753.56,Jan,5753.5599999999995
19,2019-01-20,3000,2073.51,Jan,5073.51
20,2019-01-21,3000,640.93,Jan,3640.93
21,2019-01-22,1000,1049.73,Jan,2049.73
22,2019-01-23,1000,1356.59,Jan,2356.59
23,2019-01-24,1000,560.02,Jan,1560.02
24,2019-01-25,1000,1124.95,Jan,2124.95
25,2019-01-26,1000,937.58,Jan,1937.58
26,2019-01-27,1000,687.86,Jan,1687.8600000000001
27,2019-01-28,1000,993.69,Jan,1993.69
28,2019-01-29,700,836.13,Jan,1536.13
29,2019-01-30,700,981.86,Jan,1681.8600000000001
30,2019-01-31,700,1380.14,Jan,2080.1400000000003
31,2019-02-01,700,692.67,Feb,1392.67
32,2019-02-02,700,770.87,Feb,1470.87
33,2019-02-03,700,2091.61,Feb,2791.61
34,2019-02-04,700,2216.98,Feb,2916.98
35,2019-02-05,3000,2486.46,Feb,5486.46
36,2019-02-06,3000,1665.47,Feb,4665.47
37,2019-02-07,3000,877.2,Feb,3877.2
38,2019-02-08,3000,1973.27,Feb,4973.27
39,2019-02-09,3000,2659.34,Feb,5659.34
40,2019-02-10,3000,2037.41,Feb,5037.41
41,2019-02-11,3000,2864.69,Feb,5864.6900000000005
42,2019-02-12,3000,2844.64,Feb,5844.639999999999
43,2019-02-13,3000,2007.32,Feb,5007.32
44,2019-02-14,3000,830.68,Feb,3830.68
45,2019-02-15,3000,1738.89,Feb,4738.89
46,2019-02-16,3000,3784.07,Feb,6784.07
47,2019-02-17,3000,2107.67,Feb,5107.67
48,2019-02-18,3000,1586.43,Feb,4586.43
49,2019-02-19,3500,1720.16,Feb,5220.16
50,2019-02-20,3500,2768.28,Feb,6268.280000000001
51,2019-02-21,3500,727.39,Feb,4227.39
52,2019-02-22,3500,939.9,Feb,4439.9
53,2019-02-23,3500,2548.51,Feb,6048.51
54,2019-02-24,3500,2280.26,Feb,5780.26
55,2019-02-25,3500,1469.84,Feb,4969.84
56,2019-02-26,4000,1951.71,Feb,5951.71
57,2019-02-27,4000,4349.02,Feb,8349.02
58,2019-02-28,4000,1817.18,Feb,5817.18
59,2019-03-01,4000,1880.22,Mar,5880.22
60,2019-03-02,4000,1258.6,Mar,5258.6
61,2019-03-03,4000,2066.29,Mar,6066.29
62,2019-03-04,4000,642.34,Mar,4642.34
63,2019-03-05,2500,1153.36,Mar,3653.3599999999997
64,2019-03-06,2500,1827.02,Mar,4327.02
65,2019-03-07,2500,2335.35,Mar,4835.35
66,2019-03-08,2500,1918.53,Mar,4418.53
67,2019-03-09,2500,1768.28,Mar,4268.28
68,2019-03-10,2500,1294.22,Mar,3794.2200000000003
69,2019-03-11,2500,973.15,Mar,3473.15
70,2019-03-12,2000,731.1,Mar,2731.1
71,2019-03-13,2000,1498.01,Mar,3498.01
72,2019-03-14,2000,1141.27,Mar,3141.27
73,2019-03-15,2000,1684.18,Mar,3684.1800000000003
74,2019-03-16,2000,2435.12,Mar,4435.12
75,2019-03-17,2000,1837.87,Mar,3837.87
76,2019-03-18,2000,659.57,Mar,2659.57
77,2019-03-19,2000,982.2,Mar,2982.2
78,2019-03-20,2000,1542.81,Mar,3542.81
79,2019-03-21,2000,2365.81,Mar,4365.8099999999995
80,2019-03-22,2000,2523.41,Mar,4523.41
81,2019-03-23,2000,1736.63,Mar,3736.63
82,2019-03-24,2000,1984.0,Mar,3984.0
83,2019-03-25,2000,931.54,Mar,2931.54
84,2019-03-26,2000,1672.79,Mar,3672.79
85,2019-03-27,2000,2639.99,Mar,4639.99
86,2019-03-28,2000,1066.12,Mar,3066.12
87,2019-03-29,2000,1330.54,Mar,3330.54
88,2019-03-30,2000,692.02,Mar,2692.02
89,2019-03-31,2000,2177.75,Mar,4177.75
90,2019-04-01,2000,4019.93,Apr,6019.93
91,2019-04-02,2500,1909.27,Apr,4409.27
92,2019-04-03,2500,1748.14,Apr,4248.14
93,2019-04-04,2500,1136.06,Apr,3636.06
94,2019-04-05,2500,2342.68,Apr,4842.68
95,2019-04-06,2500,2307.25,Apr,4807.25
96,2019-04-07,2500,2719.46,Apr,5219.46
97,2019-04-08,2500,2200.69,Apr,4700.6900000000005
98,2019-04-09,3000,1740.91,Apr,4740.91
99,2019-04-10,3000,2143.39,Apr,5143.389999999999
100,2019-04-11,3000,804.85,Apr,3804.85
101,2019-04-12,3000,1631.25,Apr,4631.25
102,2019-04-13,3000,2872.23,Apr,5872.23
103,2019-04-14,3000,1747.0,Apr,4747.0
104,2019-04-15,3000,1593.58,Apr,4593.58
105,2019-04-16,4000,2168.04,Apr,6168.04
106,2019-04-17,4000,2526.49,Apr,6526.49
